
公告,#genre#

央视,#genre#

CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV1,http://223.95.111.98:5555/newlive/live/hls/1/live.m3u8
CCTV2,http://39.184.224.99:9080/newlive/live/hls/2/live.m3u8
CCTV3,http://39.184.224.99:9080/newlive/live/hls/3/live.m3u8
CCTV4,http://39.184.224.99:9080/newlive/live/hls/4/live.m3u8
CCTV5,http://39.184.224.99:9080/newlive/live/hls/5/live.m3u8
CCTV6,http://39.184.224.99:9080/newlive/live/hls/6/live.m3u8
CCTV7,http://39.184.224.99:9080/newlive/live/hls/7/live.m3u8
CCTV8,http://39.184.224.99:9080/newlive/live/hls/8/live.m3u8
CCTV9,http://39.184.224.99:9080/newlive/live/hls/9/live.m3u8
CCTV10,http://39.184.224.99:9080/newlive/live/hls/10/live.m3u8
CCTV11,http://39.184.224.99:9080/newlive/live/hls/11/live.m3u8
CCTV12,http://39.184.224.99:9080/newlive/live/hls/12/live.m3u8
CCTV13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?
CCTV13,http://223.95.111.98:5555/newlive/live/hls/13/live.m3u8
CCTV14,http://39.184.224.99:9080/newlive/live/hls/14/live.m3u8
CCTV15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8?
CCTV16,http://117.169.124.149:8080/live/HD-8000k-1080P-cctv16/1.m3u8
CCTV16,http://117.169.124.149:8080/live/HD-4000k-1080P-cctv16/1.m3u8
CCTV17,http://39.184.224.99:9080/newlive/live/hls/17/live.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?
CCTV9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
CCTV10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?
CCTV1,http://218.29.55.44:808/hls/1/index.m3u8
CCTV2,http://218.29.55.44:808/hls/2/index.m3u8
CCTV3,http://218.29.55.44:808/hls/3/index.m3u8
CCTV4,http://218.29.55.44:808/hls/4/index.m3u8
CCTV5,http://218.29.55.44:808/hls/5/index.m3u8
CCTV6,http://218.29.55.44:808/hls/6/index.m3u8
CCTV7,http://218.29.55.44:808/hls/7/index.m3u8
CCTV8,http://218.29.55.44:808/hls/8/index.m3u8
CCTV9,http://218.29.55.44:808/hls/9/index.m3u8
CCTV10,http://218.29.55.44:808/hls/10/index.m3u8
CCTV11,http://218.29.55.44:808/hls/11/index.m3u8
CCTV12,http://218.29.55.44:808/hls/12/index.m3u8
CCTV13,http://218.29.55.44:808/hls/13/index.m3u8
CCTV14,http://218.29.55.44:808/hls/14/index.m3u8
CCTV15,http://218.29.55.44:808/hls/24/index.m3u8
CCTV1,http://1.195.111.251:11190/tsfile/live/0001_1.m3u8
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225762/index.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV2,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV2,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.135.138.58:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV2,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
CCTV3,http://1.195.111.251:11190/tsfile/live/0003_1.m3u8
CCTV3,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV3,http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8
CCTV3,http://39.135.138.58:18890/PLTV/88888888/224/3221225647/index.m3u8
CCTV4,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8
CCTV4,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV4,http://1.195.111.251:11190/tsfile/live/0004_1.m3u8
CCTV5,http://1.195.111.251:11190/tsfile/live/0005_1.m3u8
CCTV5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV6,http://1.195.111.251:11190/tsfile/live/0006_1.m3u8
CCTV6,http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV7,http://1.195.111.251:11190/tsfile/live/0007_1.m3u8
CCTV7,http://39.134.115.163:8080/TVOD/88888910/224/3221225644/index.m3u8
CCTV8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?
CCTV8,http://1.195.111.251:11190/tsfile/live/0008_1.m3u8
CCTV8,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8
CCTV9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
