
群友定制,#genre#
怀集音乐电台,https://cnlive.cnr.cn/hls/hjyyzs.m3u8
清晨音乐台,https://live.ximalaya.com/radio-first-page-app/live/1011/64.m3u8?transcode=ts
广东音乐之声,https://live.ximalaya.com/radio-first-page-app/live/74/64.m3u8?transcode=ts
深圳飞扬971,https://live.ximalaya.com/radio-first-page-app/live/263/64.m3u8?transcode=ts
星空卫视,http://113.117.74.10:8081/hls/87/index.m3u8
星空卫视,http://120.84.96.108:808/hls/79/index.m3u8
卡成狗,#genre#
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
ViuTV 6,http://radius.8866.org:800/hls/85/index.m3u8
VIU TV,http://radius.8866.org:800/hls/86/index.m3u8
无线财经资讯台,http://radius.8866.org:800/hls/83/index.m3u8
无线新闻,http://radius.8866.org:800/hls/82/index.m3u8
东森洋片台,http://jylt.jdshipin.com:808/hls/33/index.m3u8
Hollywood,http://jylt.jdshipin.com:808/hls/24/index.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
东森电影,http://jylt.jdshipin.com:808/hls/32/index.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
凤凰中文,http://39.135.138.58:18890/PLTV/88888888/224/3221226248/index.m3u8
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
有线新闻,http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u
欧美大片,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=3b64dd17d293b133c58bda21e3147e5b&token=cpn-androidmpro-0-20415-b6774b3b3249db1768f0ac048c5ed218ac54e1f82b04b2bf&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
无线财经资讯台,http://120.84.96.82:808/hls/86/index.m3u8
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8
中国环球电视,http://live.cgtn.com/500/prog_index.m3u8
CGTN Documentary,http://livedoc.cgtn.com/1000d/prog_index.m3u8
无线财经资讯台,http://120.84.96.108:808/hls/86/index.m3u8
翡翠台,http://107.151.203.111:2209/135/hk.php?id=tvbfct
无线财经资讯台,http://120.84.96.89:808/hls/86/index.m3u8
香港卫视,http://hw-play.lezhibo.com/live/bd2d26fd492b403d8ec69de1859bdb31.m3u8
中天综合台,http://pull-l3-cny.douyincdn.com/third/stream-5f26752efeee9e0c53cf6b530640ce60.m3u8
大愛2台,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
龙祥电影,http://jylt.jdshipin.com:808/hls/35/index.m3u8
凤aylist.m3u8?wowzasessionid=64000?zgangd
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
大立电视,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8?zgangd
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
有线新闻,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
大愛1台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
澳门莲花卫视,http://anren.live/HK/BiIOU11uLA.m3u8?zgangd&&&$1920x1080
CGTN Documentary,https://livedoc.cgtn.com/500d/prog_index.m3u8?zshijd
耀才财经,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8
澳门卫星,http://61.244.22.5/ch3/_definst_/ch3.live/playlist.m3u8
韩国-BBS,http://bbstv.clouducs.com:1935/bbstv-live/livestream/playlist.m3u8
澳门奥视,http://61.244.22.5/ch1/ch1.live/playelist.m3u8
唯心,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/playlist.m3u8
爱尔达生活旅游台,http://www.336699.live:1935/blocksix/4gtv-live120.stream/chunklist.m3u8
CNBC Asia 财经台,http://www.336699.live:1935/blocksix/4gtv-live130.stream/chunklist.m3u8
Lifetime 娱乐频道,http://www.336699.live:1935/blocksix/4gtv-live029.stream/chunklist.m3u8
靖天戏剧台,http://www.336699.live:1935/blockfour/4gtv-4gtv045.stream/playlist.m3u8
ANTV,http://antvlive.ab5c6921.cdnviet.com/antv/playlist.m3u8
儒释道经,https://live.ciguang.tv/live/hdtv.m3u8?auth_key=5216465889-0-0-701a98b03302233fc07fa2ee9e85d39b
global Trekker,http://www.336699.live:1935/blocksix/4gtv-live112.stream/chunklist.m3u8
东森购物一台,http://www.336699.live:1935/blocksix/4gtv-live046.stream/chunklist.m3u8
LUXE TV Channel,http://www.336699.live:1935/blocksix/4gtv-live121.stream/chunklist.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
靖天戏剧台,http://www.336699.live:1935/blockfour/4gtv-4gtv058.stream/playlist.m3u8
精选动漫台,http://www.336699.live:1935/blocksix/4gtv-live024.stream/chunklist.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
i-Fun愛放,http://www.336699.live:1935/blockfour/litv-ftv15.stream/playlist.m3u8
民视新闻台,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
Pet Club TV,http://www.336699.live:1935/blocksix/4gtv-live110.stream/chunklist.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
龍華日韓,http://www.336699.live:1935/blockfour/litv-longturn11.stream/playlist.m3u8
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
民视新闻台,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
东森购物二台,http://www.336699.live:1935/blocksix/4gtv-live047.stream/chunklist.m3u8
靖天育乐台,http://www.336699.live:1935/blockfour/4gtv-4gtv062.stream/playlist.m3u8
ELTA娛樂,http://www.336699.live:1935/blockfour/4gtv-4gtv070.stream/playlist.m3u8
ROLLOR,http://www.336699.live:1935/blocksix/4gtv-live012.stream/chunklist.m3u8
全民最大党,http://www.336699.live:1935/blocksix/4gtv-live076.stream/chunklist.m3u8
My Cinema Europe HD 我的欧洲电影,http://www.336699.live:1935/blocksix/4gtv-live157.stream/chunklist.m3u8
TRACE,http://www.336699.live:1935/blockfour/4gtv-4gtv077.stream/playlist.m3u8
靖天映画,http://www.336699.live:1935/blockfour/4gtv-4gtv055.stream/playlist.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
亞洲旅遊,http://www.336699.live:1935/blocksix/litv-longturn17.stream/playlist.m3u8
經典卡通,http://www.336699.live:1935/blocksix/4gtv-live022.stream/chunklist.m3u8
唯心電視,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
大愛2台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
SBN全球财经台,http://www.336699.live:1935/blocksix/4gtv-live060.stream/chunklist.m3u8
长城精品,http://38.64.72.148:80/hls/modn/list/4008/chunklist0.m3u8
中视菁采台,http://www.336699.live:1935/blockfour/4gtv-4gtv064.stream/playlist.m3u8
好消息,http://www.336699.live:1935/blockfour/litv-ftv16.stream/playlist.m3u8
中天美食旅游,http://www.336699.live:1935/blocksix/4gtv-live123.stream/chunklist.m3u8
华语电视,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8
靖天卡通台,http://www.336699.live:1935/blockfour/4gtv-4gtv044.stream/playlist.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
影迷数位纪实台,http://www.336699.live:1935/blocksix/4gtv-live023.stream/chunklist.m3u8
mezzo live,http://www.336699.live:1935/blockfour/4gtv-4gtv083.stream/playlist.m3u8
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
阿里郎,http://www.336699.live:1935/blockfour/4gtv-4gtv079.stream/playlist.m3u8
半島電視,http://www.336699.live:1935/blockfour/litv-ftv10.stream/playlist.m3u8
智林体育,http://www.336699.live:1935/blockfour/4gtv-4gtv101.stream/playlist.m3u8
TV5MONDE STYLE HD 生活时尚,http://www.336699.live:1935/blocksix/4gtv-live122.stream/chunklist.m3u8
HITS,http://www.336699.live:1935/blockfour/4gtv-4gtv082.stream/playlist.m3u8
老電影,http://www.336699.live:1935/blocksix/4gtv-live021.stream/chunklist.m3u8
靖天欢乐台,http://www.336699.live:1935/blockfour/4gtv-4gtv054.stream/playlist.m3u8
美國之音,http://www.336699.live:1935/blockfour/litv-ftv03.stream/playlist.m3u8
凤凰香港,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226251/index.m3u8
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
澳门葡语,http://61.244.22.5/ch2/ch2.live/chunklist_w1632175875.m3u8
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
香港佛陀,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8
新加坡中文台,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
韩国-EBS1,http://ebsonairios.ebs.co.kr/groundwavefamilypc/familypc1m/playlist.m3u8
采昌影剧,http://www.336699.live:1935/blockfour/4gtv-4gtv049.stream/playlist.m3u8
靖天国际,http://www.336699.live:1935/blockfour/4gtv-4gtv063.stream/playlist.m3u8
东森亚洲卫视,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
无线新闻,https://cdn.hklive.tv/xxxx/83/index.m3u8
韩国-KCTV_HV2,http://119.77.96.184:1935/chn05/chn05/chunklist_w1306745753.m3u8
GinX,http://www.336699.live:1935/blockfour/4gtv-4gtv053.stream/playlist.m3u8
无线财经资讯台,http://107.151.203.111:2209/135/hk.php?id=tvbcjtyt
香港佛陀,http://js1.amtb.cn/liveedge/_definst_/livetv/chunklist.m3u8
东森新闻美洲台,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
民视新闻台,http://123.51.230.108:18663/.m3u8
长城精品,http://38.64.72.148:80/hls/modn/list/4008/chunklist1.m3u8
华语电视,http://38.64.72.148:80/hls/modn/list/4001/chunklist0.m3u8
纬来体育,http://123.51.230.108:18509/.m3u8
东森戏剧,http://123.51.230.108:18538/.m3u8
韩国-BBS,http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist_w1216149699.m3u8
八大第一台,http://123.51.230.108:18539/.m3u8
CNA新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
NHK,http://123.51.230.108:18525/.m3u8
东风37,http://123.51.230.108:18560/.m3u8
TVB翡翠华丽,http://23.237.10.66:16410
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
东森财经,http://123.51.230.108:18515/.m3u8
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
韩国-MBC综合频道,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000
GunmaTV,https://movie.mcas.jp/switcher/smil:mcas8.smil/master.m3u8
半岛新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8?zshijd
好消息,http://123.51.230.108:18507/.m3u8
TVB J2,https://j3.lhlh.app/mv.m3u8?checkedby:iptvcat.com
LiveABC互动英语频道,http://www.336699.live:1935/blocksix/4gtv-live030.stream/chunklist.m3u8
